"id","image","context_translations","description_translations"
8,"9cdc76b2-f444-4d92-abf5-80c4379c8931","[{""id"":7,""cards_situations_id"":8,""languages_code"":""fr-FR"",""context"":""À l’hôtel""},{""id"":8,""cards_situations_id"":8,""languages_code"":""en-US"",""context"":""At the hotel""}]","[{""id"":1,""cards_situations_id"":8,""languages_code"":""fr-FR"",""description"":""Je dois obtenir les clés de ma chambre et aller dans ma chambre à l’ étage.""},{""id"":2,""cards_situations_id"":8,""languages_code"":""en-US"",""description"":""I have to get my room keys and go to my room upstairs.""}]"
10,"16b3002d-bb4f-4599-90c2-4f02f896dbf7","[{""id"":11,""cards_situations_id"":10,""languages_code"":""fr-FR"",""context"":""À la gare""},{""id"":12,""cards_situations_id"":10,""languages_code"":""en-US"",""context"":""At the train station""}]","[{""id"":3,""cards_situations_id"":10,""languages_code"":""fr-FR"",""description"":""Je dois acheter mon billet de train et rejoindre mon train.""},{""id"":4,""cards_situations_id"":10,""languages_code"":""en-US"",""description"":""I have to buy my train ticket and join my train.""}]"
12,"c801ec67-ca60-419c-8f05-4fedb07d54d6","[{""id"":14,""cards_situations_id"":12,""languages_code"":""fr-FR"",""context"":""Sur l’aire d’autoroute""},{""id"":15,""cards_situations_id"":12,""languages_code"":""en-US"",""context"":""On the interstate rest area""}]","[{""id"":5,""cards_situations_id"":12,""languages_code"":""fr-FR"",""description"":""Je dois recharger mon véhicule électrique.""},{""id"":6,""cards_situations_id"":12,""languages_code"":""en-US"",""description"":""I need to charge my electric vehicle.\n""}]"
13,"e7d5e1e1-a416-48be-8351-80ba8ea67e15","[{""id"":16,""cards_situations_id"":13,""languages_code"":""fr-FR"",""context"":""À la cantine""},{""id"":17,""cards_situations_id"":13,""languages_code"":""en-US"",""context"":""At the cafeteria""}]","[{""id"":7,""cards_situations_id"":13,""languages_code"":""fr-FR"",""description"":""Je dois me servir et faire réchauffer mon plat.""},{""id"":8,""cards_situations_id"":13,""languages_code"":""en-US"",""description"":""I have to serve myself and heat up my meal""}]"
14,"a71f7d44-9fb1-4d2c-a663-3b6a673f57c5","[{""id"":18,""cards_situations_id"":14,""languages_code"":""fr-FR"",""context"":""À la poste""},{""id"":19,""cards_situations_id"":14,""languages_code"":""en-US"",""context"":""At the post office""}]","[{""id"":9,""cards_situations_id"":14,""languages_code"":""fr-FR"",""description"":""Je dois envoyer un courrier recommandé et faire une photocopie.""},{""id"":10,""cards_situations_id"":14,""languages_code"":""en-US"",""description"":""I have to send a registered mail and make a photocopy.""}]"
15,"6d5aaeec-f1f4-4a79-956c-eb2e7e2ee96e","[{""id"":20,""cards_situations_id"":15,""languages_code"":""fr-FR"",""context"":""Au supermarché""},{""id"":21,""cards_situations_id"":15,""languages_code"":""en-US"",""context"":""At the supermarket""}]","[{""id"":11,""cards_situations_id"":15,""languages_code"":""fr-FR"",""description"":""Je dois acheter un paquet de céréales.""},{""id"":12,""cards_situations_id"":15,""languages_code"":""en-US"",""description"":""I have to buy a packet of cereal.""}]"
16,"5b4dbec5-ec87-40f3-bce9-fba300386e67","[{""id"":22,""cards_situations_id"":16,""languages_code"":""fr-FR"",""context"":""En ville""},{""id"":23,""cards_situations_id"":16,""languages_code"":""en-US"",""context"":""In town""}]","[{""id"":13,""cards_situations_id"":16,""languages_code"":""fr-FR"",""description"":""Je dois utiliser pour la première fois un vélo en libre-service.""},{""id"":14,""cards_situations_id"":16,""languages_code"":""en-US"",""description"":""I have to use a self-service bike for the first time.""}]"
17,"64e51404-e316-40bd-bccb-4d369a5f10ac","[]","[{""id"":15,""cards_situations_id"":17,""languages_code"":""fr-FR"",""description"":""Je dois inscrire mon enfant à l’école et à la cantine.""},{""id"":16,""cards_situations_id"":17,""languages_code"":""en-US"",""description"":""I have to register my child for school and the canteen.""}]"
18,"62bd677b-b231-42fe-b500-34ba2332beaa","[{""id"":24,""cards_situations_id"":18,""languages_code"":""fr-FR"",""context"":""Dans une location de vacances""},{""id"":25,""cards_situations_id"":18,""languages_code"":""en-US"",""context"":""In a holiday rental""}]","[{""id"":17,""cards_situations_id"":18,""languages_code"":""fr-FR"",""description"":""Je dois utiliser le lave-linge et la TV .""},{""id"":18,""cards_situations_id"":18,""languages_code"":""en-US"",""description"":""I have to use the washing machine and the TV.""}]"
19,"f4c15fbf-d824-4eab-9415-ee473f1c47ec","[{""id"":26,""cards_situations_id"":19,""languages_code"":""fr-FR"",""context"":""Sur mon smartphone ou ma tablette""},{""id"":27,""cards_situations_id"":19,""languages_code"":""en-US"",""context"":""On my smartphone or my tablet""}]","[{""id"":19,""cards_situations_id"":19,""languages_code"":""fr-FR"",""description"":""Je dois passer commande dans une boutique en ligne de vêtements et cosmétique.""},{""id"":20,""cards_situations_id"":19,""languages_code"":""en-US"",""description"":""I need to place an order in an online clothing and cosmetics store.""}]"
20,"28d8ae5c-33c6-42fd-80f9-bf8c9fd42137","[{""id"":28,""cards_situations_id"":20,""languages_code"":""fr-FR"",""context"":""Dans une agence bancaire""},{""id"":29,""cards_situations_id"":20,""languages_code"":""en-US"",""context"":""In a bank branch""}]","[{""id"":21,""cards_situations_id"":20,""languages_code"":""fr-FR"",""description"":""Je dois retirer de l’argent et remettre un chèque.""},{""id"":22,""cards_situations_id"":20,""languages_code"":""en-US"",""description"":""I need to withdraw money and write a check.""}]"
